"","PC1","PC2","SampleID","lib.size","norm.factors","Sample","ID","rna_lib_type","rna_batch","pair","mother","sex","date_birth","remark","year","ID_tp","ID_tp.1","group","sample_collection_date","sample_collection_Dec_days","delta_days_samples","age_days","tissue","colony","life_history_stage"
"F1_FWB_mum_start_2018B",71.223675974066,19.6540843736847,"F1_FWB_mum_start_2018B",21746528.1363803,0.91054947598692,"F1_FWB_mum_start_2018B","F1","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","F1_C1",NA,"F",NA,NA,"2018_2019","F1_1","F1_1","1","10-12-2018",10,0,NA,"blood","FWB","Mother"
"F1_FWB_mum_end_2018B",-71.4925518164796,-1.01898546384804,"F1_FWB_mum_end_2018B",20717153.2014844,1.293086199056,"F1_FWB_mum_end_2018B","F1","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F1_C1",NA,"F",NA,NA,"2018_2019","F1_2","F1_2","2","02-02-2019",64,54,NA,"blood","FWB","Mother"
"F11_FWB_mum_start_2018B",-43.4142099314299,91.0285840676555,"F11_FWB_mum_start_2018B",29242985.8296551,1.22630085153026,"F11_FWB_mum_start_2018B","F11","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F11_C11",NA,"F",NA,NA,"2018_2019","F11_1","F11_1","1","18-12-2018",18,0,NA,"blood","FWB","Mother"
"F11_FWB_mum_end_2018B",65.2059285426089,-16.1336224322396,"F11_FWB_mum_end_2018B",11329819.0486458,0.445514898057761,"F11_FWB_mum_end_2018B","F11","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F11_C11",NA,"F",NA,NA,"2018_2019","F11_2","F11_2","2","23-01-2019",54,36,NA,"blood","FWB","Mother"
"F14_FWB_mum_start_2018B",157.727683191835,-7.38807765429105,"F14_FWB_mum_start_2018B",14417162.0883602,0.638360934297909,"F14_FWB_mum_start_2018B","F14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F14_C14",NA,"F",NA,NA,"2018_2019","F14_1","F14_1","1","20-12-2018",20,0,NA,"blood","FWB","Mother"
"F14_FWB_mum_end_2018B",51.1317506484797,-34.2002002429538,"F14_FWB_mum_end_2018B",9304762.33350089,0.886617150747604,"F14_FWB_mum_end_2018B","F14","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F14_C14",NA,"F",NA,NA,"2018_2019","F14_2","F14_2","2","07-02-2019",69,49,NA,"blood","FWB","Mother"
"F15_FWB_mum_start_2018B",37.6789158316259,50.0127970207594,"F15_FWB_mum_start_2018B",24410973.1237424,0.946955750741335,"F15_FWB_mum_start_2018B","F15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F15_C15",NA,"F",NA,NA,"2018_2019","F15_1","F15_1","1","20-12-2018",20,0,NA,"blood","FWB","Mother"
"F15_FWB_mum_end_2018B",8.33870282529977,-11.6323383378608,"F15_FWB_mum_end_2018B",10557335.5448502,1.0157069662983,"F15_FWB_mum_end_2018B","F15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F15_C15",NA,"F",NA,NA,"2018_2019","F15_2","F15_2","2","23-01-2019",54,34,NA,"blood","FWB","Mother"
"F16_FWB_mum_start_2018B",25.8766767103411,51.3486802836496,"F16_FWB_mum_start_2018B",26319169.899549,0.984521840891271,"F16_FWB_mum_start_2018B","F16","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F16_C16",NA,"F",NA,NA,"2018_2019","F16_1","F16_1","1","20-12-2018",20,0,NA,"blood","FWB","Mother"
"F16_FWB_mum_end_2018B",-31.6863085262099,26.6595670074998,"F16_FWB_mum_end_2018B",30823668.7690267,1.16922310177508,"F16_FWB_mum_end_2018B","F16","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F16_C16",NA,"F",NA,NA,"2018_2019","F16_2","F16_2","2","29-01-2019",60,40,NA,"blood","FWB","Mother"
"F17_FWB_mum_start_2018B",-36.0119039673613,46.8111657788603,"F17_FWB_mum_start_2018B",20066171.5605619,1.07672325144172,"F17_FWB_mum_start_2018B","F17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F17_C17",NA,"F",NA,NA,"2018_2019","F17_1","F17_1","1","20-12-2018",20,0,NA,"blood","FWB","Mother"
"F17_FWB_mum_end_2018B",-35.3905273871918,-30.2543896715052,"F17_FWB_mum_end_2018B",24152892.4607507,1.23815951741318,"F17_FWB_mum_end_2018B","F17","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F17_C17",NA,"F",NA,NA,"2018_2019","F17_2","F17_2","2","11-02-2019",73,53,NA,"blood","FWB","Mother"
"F18_FWB_mum_start_2018B",31.8440183137968,72.3614954577873,"F18_FWB_mum_start_2018B",30222876.545303,0.945656416852217,"F18_FWB_mum_start_2018B","F18","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F18_C18",NA,"F",NA,NA,"2018_2019","F18_1","F18_1","1","20-12-2018",20,0,NA,"blood","FWB","Mother"
"F18_FWB_mum_end_2018B",81.4015939303196,-32.3477736029106,"F18_FWB_mum_end_2018B",19976829.2117835,0.936833418545029,"F18_FWB_mum_end_2018B","F18","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCokaE","F18_C18",NA,"F",NA,NA,"2018_2019","F18_2","F18_2","2","11-02-2019",73,53,NA,"blood","FWB","Mother"
"F19_FWB_mum_start_2018B",89.4294719739361,33.7845699326589,"F19_FWB_mum_start_2018B",19664020.2234149,0.884202831549528,"F19_FWB_mum_start_2018B","F19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","F19_C19",NA,"F",NA,NA,"2018_2019","F19_1","F19_1","1","20-12-2018",20,0,NA,"blood","FWB","Mother"
"F19_FWB_mum_end_2018B",32.8885215994926,-4.20966499375759,"F19_FWB_mum_end_2018B",16078942.2320745,0.941411684285582,"F19_FWB_mum_end_2018B","F19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F19_C19",NA,"F",NA,NA,"2018_2019","F19_2","F19_2","2","05-02-2019",67,47,NA,"blood","FWB","Mother"
"F21_FWB_mum_start_2018",21.9086463604737,98.3765385653287,"F21_FWB_mum_start_2018",12652314.6726667,0.714527257114444,"F21_FWB_mum_start_2018","F21","BGISEQ-500 Transcriptome","F20FTSEUHT0820_ARCbfrE","F21_C21",NA,"F",NA,NA,"2018_2019","F21_1","F21_1","1","21-12-2018",21,0,NA,"blood","FWB","Mother"
"F24_FWB_mum_end_2018B",58.4031418526958,-23.6569969024049,"F24_FWB_mum_end_2018B",27578841.891958,0.981976930020959,"F24_FWB_mum_end_2018B","F24","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F24_C24",NA,"F",NA,NA,"2018_2019","F24_2","F24_2","2","17-02-2019",79,58,NA,"blood","FWB","Mother"
"F5_FWB_mum_start_2018B",-41.4385526667301,61.0055691606617,"F5_FWB_mum_start_2018B",28760731.8787802,1.11048935812797,"F5_FWB_mum_start_2018B","F5","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F5_C5",NA,"F",NA,NA,"2018_2019","F5_1","F5_1","1","14-12-2018",14,0,NA,"blood","FWB","Mother"
"F5_FWB_mum_end_2018B",41.1597627635469,-65.4731796388805,"F5_FWB_mum_end_2018B",20448340.3348699,1.08485620960447,"F5_FWB_mum_end_2018B","F5","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F5_C5",NA,"F",NA,NA,"2018_2019","F5_2","F5_2","2","09-02-2019",71,57,NA,"blood","FWB","Mother"
"F6_FWB_mum_end_2018B",7.68360599974381,-44.3078634110283,"F6_FWB_mum_end_2018B",16180421.7801833,1.00910224345996,"F6_FWB_mum_end_2018B","F6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F6_C6",NA,"F",NA,NA,"2018_2019","F6_2","F6_2","2","06-02-2019",68,53,NA,"blood","FWB","Mother"
"F7_FWB_mum_start_2018B",77.4974465060479,34.9263689482189,"F7_FWB_mum_start_2018B",18788535.6717226,0.845578475127815,"F7_FWB_mum_start_2018B","F7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F7_C7",NA,"F",NA,NA,"2018_2019","F7_1","F7_1","1","17-12-2018",17,0,NA,"blood","FWB","Mother"
"F7_FWB_mum_end_2018B",88.746708755945,-43.7237446278434,"F7_FWB_mum_end_2018B",10199956.2449847,0.876101026207363,"F7_FWB_mum_end_2018B","F7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F7_C7",NA,"F",NA,NA,"2018_2019","F7_2","F7_2","2","16-02-2019",78,61,NA,"blood","FWB","Mother"
"F8_FWB_mum_start_2018B",-17.3705024165138,92.8227610414229,"F8_FWB_mum_start_2018B",15562101.0644781,0.880359685017604,"F8_FWB_mum_start_2018B","F8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F8_C8",NA,"F",NA,NA,"2018_2019","F8_1","F8_1","1","17-12-2018",17,0,NA,"blood","FWB","Mother"
"F8_FWB_mum_end_2018B",-51.5392017131225,27.0434740322171,"F8_FWB_mum_end_2018B",23977680.4811295,1.24195876360187,"F8_FWB_mum_end_2018B","F8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F8_C8",NA,"F",NA,NA,"2018_2019","F8_2","F8_2","2","07-02-2019",69,52,NA,"blood","FWB","Mother"
"F9_FWB_mum_start_2018B",104.814121592692,27.2191663588198,"F9_FWB_mum_start_2018B",10572635.4108865,0.722002950141782,"F9_FWB_mum_start_2018B","F9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F9_C9",NA,"F",NA,NA,"2018_2019","F9_1","F9_1","1","17-12-2018",17,0,NA,"blood","FWB","Mother"
