"","PC1","PC2","SampleID","lib.size","norm.factors","Sample","ID","rna_lib_type","rna_batch","pair","mother","sex","date_birth","remark","year","ID_tp","ID_tp.1","group","sample_collection_date","sample_collection_Dec_days","delta_days_samples","age_days","tissue","colony","life_history_stage"
"S20_SSB_mum_end_2018B",51.9416025020425,-15.7720920088969,"S20_SSB_mum_end_2018B",10493867.8247485,0.732184370200253,"S20_SSB_mum_end_2018B","S20","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S20_H19",NA,"F",NA,NA,"2018_2019","S20_2","S20_2","2","30-01-2019",61,45,NA,"blood","SSB","Mother"
"S21_SSB_mum_start_2018B",69.9802089042721,48.5757288561461,"S21_SSB_mum_start_2018B",28598677.4851512,0.87659741714416,"S21_SSB_mum_start_2018B","S21","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S21_H20",NA,"F",NA,NA,"2018_2019","S21_1","S21_1","1","23-12-2018",23,0,NA,"blood","SSB","Mother"
"S21_SSB_mum_end_2018B",-57.7179417871697,7.46707888720767,"S21_SSB_mum_end_2018B",24249743.5303919,1.26648139064231,"S21_SSB_mum_end_2018B","S21","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","S21_H20",NA,"F",NA,NA,"2018_2019","S21_2","S21_2","2","15-02-2019",77,54,NA,"blood","SSB","Mother"
"S23_SSB_mum_start_2018B",-50.8008245918409,96.1818424818328,"S23_SSB_mum_start_2018B",24277254.0493467,1.0650299594144,"S23_SSB_mum_start_2018B","S23","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S23_H22",NA,"F",NA,NA,"2018_2019","S23_1","S23_1","1","25-12-2018",25,0,NA,"blood","SSB","Mother"
"S23_SSB_mum_end_2018B",-40.025119299175,-8.91661476513911,"S23_SSB_mum_end_2018B",21209993.4607415,1.19221478596238,"S23_SSB_mum_end_2018B","S23","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S23_H22",NA,"F",NA,NA,"2018_2019","S23_2","S23_2","2","11-02-2019",73,48,NA,"blood","SSB","Mother"
"S6_SSB_mum_start_2018B",91.8753199175803,92.7339022586709,"S6_SSB_mum_start_2018B",29494950.526051,0.815396856360446,"S6_SSB_mum_start_2018B","S6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S6_H6",NA,"F",NA,NA,"2018_2019","S6_1","S6_1","1","07-12-2018",7,0,NA,"blood","SSB","Mother"
"S6_SSB_mum_end_2018B",34.7124693067083,0.426438138276402,"S6_SSB_mum_end_2018B",24780434.7328769,1.1336322474445,"S6_SSB_mum_end_2018B","S6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","S6_H6",NA,"F",NA,NA,"2018_2019","S6_2","S6_2","2","03-02-2019",65,58,NA,"blood","SSB","Mother"
"S7_SSB_mum_start_2018B",122.85105169965,-17.7663154046665,"S7_SSB_mum_start_2018B",8221917.16502391,0.694279014936985,"S7_SSB_mum_start_2018B","S7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S7_H7",NA,"F",NA,NA,"2018_2019","S7_1","S7_1","1","08-12-2018",8,0,NA,"blood","SSB","Mother"
"S7_SSB_mum_end_2018B",-34.9341828276,-29.3373004442646,"S7_SSB_mum_end_2018B",26343785.5572147,1.20821942452123,"S7_SSB_mum_end_2018B","S7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S7_H7",NA,"F",NA,NA,"2018_2019","S7_2","S7_2","2","11-02-2019",73,65,NA,"blood","SSB","Mother"
"S9_SSB_mum_start_2018B",116.878972951907,-5.17833187518768,"S9_SSB_mum_start_2018B",21997123.4685153,0.809432509705715,"S9_SSB_mum_start_2018B","S9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S9_H8",NA,"F",NA,NA,"2018_2019","S9_1","S9_1","1","09-12-2018",9,0,NA,"blood","SSB","Mother"
"S9_SSB_mum_end_2018B",-60.0895947186826,1.05316442362819,"S9_SSB_mum_end_2018B",29555894.8337753,1.38290755565067,"S9_SSB_mum_end_2018B","S9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","S9_H8",NA,"F",NA,NA,"2018_2019","S9_2","S9_2","2","19-02-2019",81,72,NA,"blood","SSB","Mother"
"SSB15_SSB_mum_start_2019B",66.0388113593335,28.2355873061922,"SSB15_SSB_mum_start_2019B",7605037.47210401,0.683510035974979,"SSB15_SSB_mum_start_2019B","SSB15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB15_T15",NA,"F",NA,NA,"2019_2020","SSB15_1","SSB15_1","1","11-12-2019",11,0,NA,"blood","SSB","Mother"
"SSB15_SSB_mum_end_2019B",-43.9135804992995,-13.3271712846339,"SSB15_SSB_mum_end_2019B",11931122.7537231,1.10778355734433,"SSB15_SSB_mum_end_2019B","SSB15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB15_T15",NA,"F",NA,NA,"2019_2020","SSB15_2","SSB15_2","2","10-02-2020",72,61,NA,"blood","SSB","Mother"
"SSB16_SSB_mum_start_2019B",55.7884381442904,83.3974491136186,"SSB16_SSB_mum_start_2019B",19110332.9833786,0.762403953460891,"SSB16_SSB_mum_start_2019B","SSB16","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","SSB16_T16",NA,"F",NA,NA,"2019_2020","SSB16_1","SSB16_1","1","16-12-2019",16,0,NA,"blood","SSB","Mother"
"SSB16_SSB_mum_end_2019B",-58.1488218215871,-5.92882450857168,"SSB16_SSB_mum_end_2019B",18812288.6478354,1.303434361766,"SSB16_SSB_mum_end_2019B","SSB16","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB16_T16",NA,"F",NA,NA,"2019_2020","SSB16_2","SSB16_2","2","23-02-2020",85,69,NA,"blood","SSB","Mother"
"SSB2_SSB_mum_start_2019B",13.6351079744929,62.6955282487011,"SSB2_SSB_mum_start_2019B",12808913.624956,0.907728985872297,"SSB2_SSB_mum_start_2019B","SSB2","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB2_T2",NA,"F",NA,NA,"2019_2020","SSB2_1","SSB2_1","1","02-12-2019",2,0,NA,"blood","SSB","Mother"
"SSB2_SSB_mum_end_2019B",-47.1225702361346,6.02763054864287,"SSB2_SSB_mum_end_2019B",21127160.9629034,1.30416976927215,"SSB2_SSB_mum_end_2019B","SSB2","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB2_T2",NA,"F",NA,NA,"2019_2020","SSB2_2","SSB2_2","2","04-02-2020",66,64,NA,"blood","SSB","Mother"
"SSB20_SSB_mum_start_2019B",87.0302668017332,49.209226666718,"SSB20_SSB_mum_start_2019B",13011752.9465809,0.797847471145675,"SSB20_SSB_mum_start_2019B","SSB20","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB20_T20",NA,"F",NA,NA,"2019_2020","SSB20_1","SSB20_1","1","21-12-2019",21,0,NA,"blood","SSB","Mother"
"SSB20_SSB_mum_end_2019B",-18.9149679547201,15.8487335460849,"SSB20_SSB_mum_end_2019B",17415912.4516898,1.03823248019892,"SSB20_SSB_mum_end_2019B","SSB20","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","SSB20_T20",NA,"F",NA,NA,"2019_2020","SSB20_2","SSB20_2","2","03-03-2020",94,73,NA,"blood","SSB","Mother"
"SSB21_SSB_mum_start_2019B",29.3677629255379,35.317020836755,"SSB21_SSB_mum_start_2019B",16789241.6751728,0.916510092138287,"SSB21_SSB_mum_start_2019B","SSB21","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB21_T21",NA,"F",NA,NA,"2019_2020","SSB21_1","SSB21_1","1","21-12-2019",21,0,NA,"blood","SSB","Mother"
"SSB21_SSB_mum_end_2019B",31.0414566696764,-24.6272125872241,"SSB21_SSB_mum_end_2019B",16640795.9665386,0.9583527793487,"SSB21_SSB_mum_end_2019B","SSB21","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB21_T21",NA,"F",NA,NA,"2019_2020","SSB21_2","SSB21_2","2","27-01-2020",58,NA,NA,"blood","SSB","Mother"
"SSB6_SSB_mum_start_2019B",-15.3893331507012,71.5710124364583,"SSB6_SSB_mum_start_2019B",26182095.8637528,0.964548114765799,"SSB6_SSB_mum_start_2019B","SSB6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB6_T6",NA,"F",NA,NA,"2019_2020","SSB6_1","SSB6_1","1","04-12-2019",4,0,NA,"blood","SSB","Mother"
"SSB6_SSB_mum_end_2019B",-14.5151713089031,-6.1288163345777,"SSB6_SSB_mum_end_2019B",19935891.5779678,1.13682642554066,"SSB6_SSB_mum_end_2019B","SSB6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB6_T6",NA,"F",NA,NA,"2019_2020","SSB6_2","SSB6_2","2","27-02-2020",89,85,NA,"blood","SSB","Mother"
"SSB7_SSB_mum_start_2019B",-24.3294387776495,64.1374036126919,"SSB7_SSB_mum_start_2019B",26851199.2605079,1.06424344348885,"SSB7_SSB_mum_start_2019B","SSB7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","SSB7_T7",NA,"F",NA,NA,"2019_2020","SSB7_1","SSB7_1","1","05-12-2019",5,0,NA,"blood","SSB","Mother"
"SSB7_SSB_mum_end_2019B",-41.3209838214432,-16.6159152945389,"SSB7_SSB_mum_end_2019B",25157260.1779251,1.32895326167528,"SSB7_SSB_mum_end_2019B","SSB7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB7_T7",NA,"F",NA,NA,"2019_2020","SSB7_2","SSB7_2","2","06-02-2020",68,63,NA,"blood","SSB","Mother"
"SSB9_SSB_mum_start_2019B",-18.6337670677754,46.9839415362256,"SSB9_SSB_mum_start_2019B",18622596.7450864,1.03777227327945,"SSB9_SSB_mum_start_2019B","SSB9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB9_T9",NA,"F",NA,NA,"2019_2020","SSB9_1","SSB9_1","1","06-12-2019",6,0,NA,"blood","SSB","Mother"
"SSB9_SSB_mum_end_2019B",-28.0617369694625,-49.8997412955317,"SSB9_SSB_mum_end_2019B",22283029.3182377,1.32832172411151,"SSB9_SSB_mum_end_2019B","SSB9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB9_T9",NA,"F",NA,NA,"2019_2020","SSB9_2","SSB9_2","2","04-03-2020",95,89,NA,"blood","SSB","Mother"
"T15_SSB_pup_start_2019B",14.2302762819245,53.7732766355094,"T15_SSB_pup_start_2019B",32574664.9308478,1.01896723428503,"T15_SSB_pup_start_2019B","T15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB15_T15","SSB15","F","08-12-2019",NA,"2019_2020","T15_1","T15_1","1","11-12-2019",11,0,"3","blood","SSB","Pup"
"T15_SSB_pup_end_2019B",-37.361004514706,-26.3333260806554,"T15_SSB_pup_end_2019B",13709522.9449307,1.01001528731115,"T15_SSB_pup_end_2019B","T15","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCokaE","SSB15_T15","SSB15","F","08-12-2019",NA,"2019_2020","T15_2","T15_2","2","10-02-2020",72,61,"64","blood","SSB","Pup"
"T16_SSB_pup_start_2019B",12.1976255621734,25.1747747262856,"T16_SSB_pup_start_2019B",12625450.256994,0.84035225902751,"T16_SSB_pup_start_2019B","T16","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB16_T16","SSB16","M","12-12-2019",NA,"2019_2020","T16_1","T16_1","1","16-12-2019",16,0,"4","blood","SSB","Pup"
"T16_SSB_pup_end_2019B",-55.8071767359914,-27.035633511265,"T16_SSB_pup_end_2019B",12943845.9777675,1.0381484760659,"T16_SSB_pup_end_2019B","T16","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB16_T16","SSB16","M","12-12-2019",NA,"2019_2020","T16_2","T16_2","2","23-02-2020",85,69,"73","blood","SSB","Pup"
"T2_SSB_pup_start_2019B",-9.65611179779076,26.7995328756613,"T2_SSB_pup_start_2019B",28694461.170441,1.12165289963265,"T2_SSB_pup_start_2019B","T2","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","SSB2_T2","SSB2","F","28-11-2019",NA,"2019_2020","T2_1","T2_1","1","02-12-2019",2,0,"4","blood","SSB","Pup"
"T2_SSB_pup_end_2019B",-44.0033345445612,4.10237447396403,"T2_SSB_pup_end_2019B",10712111.0024735,0.990236730181942,"T2_SSB_pup_end_2019B","T2","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB2_T2","SSB2","F","28-11-2019",NA,"2019_2020","T2_2","T2_2","2","04-02-2020",66,64,"68","blood","SSB","Pup"
"T20_SSB_pup_end_2019B",-61.6259484966968,0.0212651746055632,"T20_SSB_pup_end_2019B",28103409.5109173,1.31295424100702,"T20_SSB_pup_end_2019B","T20","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB20_T20","SSB20","M","18-12-2019",NA,"2019_2020","T20_2","T20_2","2","03-03-2020",94,73,"76","blood","SSB","Pup"
"T21_SSB_pup_start_2019B",-17.2941955705118,28.3775207745954,"T21_SSB_pup_start_2019B",19826213.7166138,1.01971706262165,"T21_SSB_pup_start_2019B","T21","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","SSB21_T21","SSB21",NA,NA,"this pup is not in the epi study so I might not have all info","2019_2020","T21_1","T21_1","1","21-12-2019",21,0,"2to5","blood","SSB","Pup"
"T6_SSB_pup_start_2019B",-54.7247869041483,39.3798417496526,"T6_SSB_pup_start_2019B",32183801.4131941,1.14907836063896,"T6_SSB_pup_start_2019B","T6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB6_T6","SSB6","F","30-11-2019",NA,"2019_2020","T6_1","T6_1","1","04-12-2019",4,0,"4","blood","SSB","Pup"
"T6_SSB_pup_end_2019B",-36.1511917173491,-36.8780077219754,"T6_SSB_pup_end_2019B",32191606.1878461,1.40042566458507,"T6_SSB_pup_end_2019B","T6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB6_T6","SSB6","F","30-11-2019",NA,"2019_2020","T6_2","T6_2","2","27-02-2020",89,85,"89","blood","SSB","Pup"
"T7_SSB_pup_start_2019B",8.47496484950909,-15.8357817027426,"T7_SSB_pup_start_2019B",10905276.6130243,0.842896074169668,"T7_SSB_pup_start_2019B","T7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB7_T7","SSB7","F","30-11-2019",NA,"2019_2020","T7_1","T7_1","1","05-12-2019",5,0,"5","blood","SSB","Pup"
"T7_SSB_pup_end_2019B",-56.0047406524447,-10.4274913448992,"T7_SSB_pup_end_2019B",18307563.0738233,1.19380273736432,"T7_SSB_pup_end_2019B","T7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB7_T7","SSB7","F","30-11-2019",NA,"2019_2020","T7_2","T7_2","2","06-02-2020",68,63,"68","blood","SSB","Pup"
"T8_SSB_pup_start_2019B",-29.5860145727326,4.43043308773583,"T8_SSB_pup_start_2019B",19528043.7340773,1.15357113134575,"T8_SSB_pup_start_2019B","T8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB8_T8","SSB8","M","02-12-2019",NA,"2019_2020","T8_1","T8_1","1","05-12-2019",5,0,"3","blood","SSB","Pup"
"T8_SSB_pup_end_2019B",-75.4760786520339,-14.0415296407478,"T8_SSB_pup_end_2019B",18085971.1769225,1.32858873681295,"T8_SSB_pup_end_2019B","T8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB8_T8","SSB8","M","02-12-2019",NA,"2019_2020","T8_2","T8_2","2","18-02-2020",80,75,"78","blood","SSB","Pup"
"T9_SSB_pup_start_2019B",0.907891377810684,24.857128614139,"T9_SSB_pup_start_2019B",23396692.5767092,0.889013175146501,"T9_SSB_pup_start_2019B","T9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB9_T9","SSB9","F","02-12-2019",NA,"2019_2020","T9_1","T9_1","1","06-12-2019",6,0,"4","blood","SSB","Pup"
"T9_SSB_pup_end_2019B",-85.829891873319,-48.706458414251,"T9_SSB_pup_end_2019B",30937772.0378406,1.56679711897955,"T9_SSB_pup_end_2019B","T9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","SSB9_T9","SSB9","F","02-12-2019",NA,"2019_2020","T9_2","T9_2","2","04-03-2020",95,89,"93","blood","SSB","Pup"
