"logFC","AveExpr","t","P.Value","adj.P.Val"
1.59059607076425,5.27109695150148,6.73547994157085,9.3906752526823e-11,2.58019009823156e-08
1.37974505270693,-0.558755607779546,6.71831869496843,1.03290886224073e-10,2.77764576805545e-08
1.31347524731549,4.50240838347034,6.70641743327122,1.10334880727756e-10,2.90525532816272e-08
1.42729330992156,-0.305002109573781,6.68328298800213,1.2540707317506e-10,3.23473468950935e-08
0.962866931986738,3.9442854308959,6.61899609836271,1.78757277306404e-10,4.18391338495489e-08
1.03405745672931,6.52588855028827,6.51097367330467,3.22822649902738e-10,7.28599191450126e-08
1.11441949412998,2.60666687475349,6.42583898029208,5.1227567083253e-10,1.1163193454573e-07
0.856171199179621,3.60758674733323,6.38036941050366,6.54576429471387e-10,1.37886524868148e-07
1.02906329311045,2.67006313158197,6.37607988443198,6.6985338866389e-10,1.38791425890539e-07
1.65237390727046,1.19649414621044,6.35190843348555,7.62715758591158e-10,1.5548329794893e-07
1.22007328241529,-0.965460369901587,6.28813537058642,1.07274374154189e-09,2.11850127333562e-07
1.11849214408146,-0.323428183853146,6.22702196574157,1.48454086365806e-09,2.75928117290798e-07
1.26924584063049,-0.313913349880957,6.09750200005164,2.93628716934003e-09,5.22700472299839e-07
1.07092322941047,5.14240504141761,6.08977764380604,3.05732099064154e-09,5.366872222322e-07
0.841544308577236,2.93190845518754,6.08288498865932,3.16944291174073e-09,5.48747793993029e-07
1.03028877072254,5.22115879775031,6.01879271805844,4.42483640744859e-09,7.45673431383236e-07
1.19483207975091,0.576438900848599,5.90177613143186,8.09019992367812e-09,1.29900533588358e-06
1.63342492832653,-1.5001930795852,5.9010724128525,8.11942570890127e-09,1.29900533588358e-06
1.41612416087285,-1.41897832682781,5.8626453467462,9.88232203194609e-09,1.56128335202208e-06
1.46261108017791,-2.78734676042492,5.85047247110101,1.05151649490691e-08,1.64075518260844e-06
1.05699986017382,5.30577212812955,5.82433811169523,1.20107200742534e-08,1.82895772311432e-06
1.19637324378295,1.85503800078753,5.80394951192305,1.33201354201347e-08,1.98062578323627e-06
1.33950129414764,-0.979029540979659,5.79996729371329,1.35917114075258e-08,1.99750744743859e-06
1.08464791330723,5.56342025288621,5.76726737654281,1.60363009977414e-08,2.3032137308006e-06
1.27611588368264,0.185760082138763,5.74052064608892,1.83510400667552e-08,2.54877797146944e-06
1.65604053526946,0.410848036590339,5.72732869609256,1.9609944182455e-08,2.6650546722801e-06
0.91616158893674,2.45319281193381,5.70851167982672,2.15528182232625e-08,2.89793690982782e-06
1.03111887606486,0.833550293753949,5.6443030670496,2.97052973085883e-08,3.91088804878383e-06
1.00440963763348,2.81441527568928,5.63148034231903,3.16617053190489e-08,4.12548756213875e-06
1.22904354851442,-1.39909572618844,5.61049855451561,3.51374799318718e-08,4.48588493796896e-06
0.957999632632704,3.48765900413872,5.59268531400779,3.83784892334868e-08,4.8506572542204e-06
0.933327540149557,6.52988184002044,5.54513143336212,4.85268887665795e-08,5.89741679923845e-06
1.5311299214103,-1.14797279688115,5.47920579715739,6.70318970511848e-08,8.06872520790405e-06
0.790610348447567,2.90517601875438,5.45343405521493,7.60013932205222e-08,8.97739821415121e-06
0.94498119950361,4.21279857842436,5.44660464514933,7.85679607345561e-08,9.1946338492968e-06
