"","logFC","AveExpr","t","P.Value","adj.P.Val"
"clec4e",-1.21337294944224,2.18671536063776,-1.20084868283826,0.11565498461156,1
"shroom3",1.15596015460726,1.20802771695073,1.19161876233768,0.117451108879874,1
"serpine2",-1.07920407576582,8.19128300278259,-1.18087094509979,0.119567594204482,1
"sfrp2",1.15925531220778,0.578092273078062,1.18043605453816,0.11965380106446,1
"stbd1",-1.09948536217556,1.60123346739587,-1.16173087779855,0.123403560733747,1
"unc80",1.19784270950075,-1.32970381067571,1.15844385329065,0.124070978937375,1
"scg3",-1.20134310460031,-1.96511299736302,-1.15824253485765,0.124111938478395,1
"plekhd1",1.11378772580288,-0.315422954497921,1.15000702692111,0.125795685606873,1
"tktl1",1.19690247533383,-1.66864764302696,1.13353770810089,0.129210847067723,1
"tlr7",1.10511454340466,2.61792433386123,1.10718205705417,0.134809891167763,1
"isg15",-1.17168578979543,9.16140795577776,-1.09218763750674,0.138069174764876,1
"slc38a11",1.16801933133342,-2.46117842563151,1.08277017569513,0.140143691107054,1
"kiaa1549l",1.16382866675315,-0.598913127167715,1.08216269842961,0.140278237599304,1
"hmgcs2",-1.36252180964889,0.168130960409451,-1.0669948458764,0.143666355617333,1
"nynrin",1.12024923922062,0.825506683611221,1.04165001114791,0.149451074805821,1
"spib",1.06713295841428,4.55095096319766,1.01518895834969,0.155655607602011,1
"sspn",1.16047986963904,-2.73570051203979,1.01174222396923,0.156476219575728,1
"muc3a",-1.25471041780377,-0.0871796152923076,-1.00460701342543,0.158184107155724,1
"cebpb",-1.08636036659421,8.09861924798891,-0.979594977238675,0.164268021433296,1
"vpreb3",1.11133041971978,3.69609023649734,0.933447916263152,0.175888775129574,1
"iglc1",1.09053128604733,5.55907893526541,0.901567312377377,0.184216059518887,1
"siglec1",-1.15507922204399,4.51162881865011,-0.868257324011206,0.19317630627655,1
"s100a8",-1.10785213139216,9.74285818650957,-0.82975928852911,0.203859892163747,1
"cebpd",-1.06208602696995,8.07659396109918,-0.760302344838053,0.224009779164166,1
"apmap",-1.05254196079749,7.91594485465986,-0.732096825267685,0.232507328381678,1
"eomes",1.06693621399315,5.15421211955951,0.717832137432349,0.236872753698592,1
"hr",1.10733244247987,-1.67495292348732,0.71548618327065,0.237595011106948,1
"olfm1",1.09136809588753,1.69173639647681,0.712639783828724,0.238472975601659,1
"spata48",-1.09376604445077,-0.819392936191709,-0.704564244578264,0.240973571788291,1
"syt6",1.11570272368994,-3.713734051193,0.689353575531433,0.245722350216479,1
"nppa",-1.17695866452672,-2.33117965060057,-0.68734430534023,0.246353410919452,1
"ighv3-23",1.12648937222143,4.47918579024597,0.682488460254488,0.247882116580503,1
"has2",-1.09751088756578,-0.0625279488884184,-0.671397221591549,0.251392889664692,1
"ly96",-1.06737579105761,6.04985373765987,-0.656888429513364,0.256025133259494,1
"iglv2-11",1.11949849568837,6.549550669594,0.635853991389089,0.26281968928596,1
"iglv3-21",1.09690055731418,5.79325122517189,0.625621533598787,0.266158275801375,1
"iglv1-40",1.10908115375883,8.54557594749202,0.60402078049957,0.273276412474465,1
"ca4",-1.07017013604818,8.91013764399727,-0.597056633511772,0.275591417112616,1
"kcnma1",1.09756041496678,-2.55806591536626,0.557363677858775,0.288968631559093,1
"ar",1.07776862709807,-0.421338370581929,0.526777499207066,0.299482342396457,1
"nbpf6",-1.13340912986479,-3.04886075299221,-0.524854988900803,0.300148987617527,1
"c4orf50",1.09467967646154,-2.53793766727502,0.499387446385863,0.309043109662465,1
"ido1",-1.14252888233272,2.12721324220715,-0.494692988806399,0.31069517645827,1
"s100a9",-1.05524268271975,11.7400498942001,-0.481665581679667,0.315299876986751,1
"cga",1.07604541668732,0.239977825630198,0.463224172840982,0.32186783738504,1
"rhou",1.10404313379716,-0.696637220340474,0.450923582564889,0.326280292959955,1
"ikzf3",1.04180113613195,5.32538039862566,0.446855929444575,0.327744886193975,1
"pawr",1.05603346559685,-0.964019820277278,0.444247107254063,0.328685624526681,1
"irf7",-1.05498014243764,7.94473883838965,-0.440199426911748,0.330147380104771,1
"hla-dob",1.03818777920662,5.21588424627683,0.437778985494685,0.331022736197244,1
"ifit1",-1.06348838078955,6.94483943047459,-0.432267661448935,0.333019384920257,1
"prob1",1.04228360165453,-0.275389966727993,0.403439033454572,0.343540246630809,1
