"","logFC","AveExpr","t","P.Value","adj.P.Val"
"vegfc",-1.89527918707365,-1.60923032066641,-4.45768453963115,7.26123219323918e-06,0.000986824878390859
"c2",-2.59774711716761,0.57587197946146,-4.45008606706215,7.4965146745836e-06,0.00100796222310704
"sox4",-1.50623538071964,0.885767618581547,-4.41979008166407,8.50957220239909e-06,0.00113213140069602
"rap2c",1.9735742520598,-2.79345172455352,4.39949347965874,9.26051212612484e-06,0.00121088060439227
"mmp28",1.9830285643691,0.381058946907242,4.39864906796619,9.29309428167181e-06,0.00121088060439227
"tmem229a",1.96837775276925,-0.400085207108954,4.32807093794214,1.24423179135398e-05,0.00160467812356357
"c4orf50",1.88245675622683,-2.55018426697433,4.32019141276051,1.28516411132008e-05,0.00164072618211864
"sdk2",1.71312583298747,-0.701268966488151,4.29322121005315,1.43526829841797e-05,0.00181403560237047
"c1qb",-2.30525474201666,1.93792183282316,-4.24264280274565,1.76323766931684e-05,0.0022064911784649
"tnfrsf13b",1.41055907182455,3.1032188568439,4.23283363086358,1.8346583512676e-05,0.00227335753937953
"col27a1",-1.8259512105615,-2.19852993375115,-4.22379228189013,1.90293469752252e-05,0.00233506714970748
"tnfrsf17",1.78371816654192,-0.129486740262756,4.21280966324152,1.98914455935464e-05,0.0024173844313157
"thy1",1.82261596352603,2.03555116867355,4.18765873614965,2.20087119969659e-05,0.00264922010409193
"vwa5b2",1.60054135546755,0.630046915979468,4.1815947736605,2.25505440319318e-05,0.00268883326433572
"mx1",-1.84529378617747,6.07602855919801,-4.17711399960022,2.29590843759121e-05,0.00271196137782386
"bco2",1.47563610091353,2.8857186571897,4.16627038296543,2.39772561815629e-05,0.00280600500813679
"cnga3",1.82661392840197,-3.30115094626425,4.16282770250964,2.430943900799e-05,0.00281877981304574
"iglv3-21",1.67931914601902,5.77880301933114,4.00033418699694,4.60961387640952e-05,0.00529644634399454
"fabp4",2.34065278650083,-1.66650806246085,3.98925342917702,4.81189697678558e-05,0.00547905999005342
"mgll",1.54646783618473,2.09353702041446,3.9804278647159,4.97902839015317e-05,0.0056187446270666
"mag",1.91386163707557,-3.4036399973907,3.97808151032971,5.02438300777457e-05,0.00561975016241264
"il7",1.66039491748111,0.74355410170843,3.9540580329653,5.51194416363125e-05,0.00611100546352065
"klra1",-1.78509502950344,-0.761304537095361,-3.9422586781503,5.76758562988561e-05,0.00633882737183689
"nos2",1.59916002813671,0.767121673415737,3.91404921024596,6.42523741876035e-05,0.00700073928756139
"c1qa",-2.02926078770374,1.71562343088644,-3.87608120360428,7.4235423437971e-05,0.00801932920369672
"hsf4",1.43635348665067,2.79887410198593,3.85298968061825,8.10093176238908e-05,0.00867692174108776
"mertk",-1.84571357254651,0.450231928218624,-3.76382984108494,0.000113077170747532,0.0120099358073787
"apbb2",1.69430817847693,-2.16028775460079,3.73957477352951,0.000123691043439624,0.0130277591502784
"gpr25",1.50130329062637,2.32182827869022,3.70867674015105,0.000138579671095581,0.0144752765535293
"card14",1.65674875193825,-1.75900644521944,3.69679327304741,0.000144744571545889,0.0149953003259713
"rai2",1.59898764064084,2.23406128511878,3.58286576326282,0.000218528518309337,0.0224551377472497
"amn",1.77799921440422,-1.3948034535924,3.57448511652004,0.000225165732450553,0.0229202416949177
"msx2",-1.69156481478376,0.514457166116729,-3.57260356507482,0.000226681716264318,0.0229202416949177
"atcay",-1.62504609921159,-0.798664935345857,-3.55344047680908,0.000242678333260259,0.0243429480482255
"txk",-1.33252242287797,4.9766979132318,-3.54654895088939,0.000248686271885231,0.0247491794516333
"rcn3",1.43549217896421,1.58057040102398,3.54365806635339,0.000251247905383256,0.0248087677823357
"nr0b1",1.75047737519169,-2.9237507269049,3.51476024944279,0.000278254102942401,0.0272319342446063
"prox1",1.75493681497543,-3.1145522224072,3.51288517802601,0.000280097432692366,0.0272319342446063
"mark1",-1.58015266860706,-2.87872694719306,-3.51056486952226,0.000282394338717332,0.0272456644812852
"shisa2",-1.80961769535571,-2.98837993580854,-3.50608160377291,0.000286882575191936,0.0274690065746279
"nrp1",-1.44752804027457,2.55326557872065,-3.4879121954949,0.000305766841994682,0.0290570459847428
"sspn",1.63791443134047,-2.76575235784008,3.47351439238198,0.00032155292964264,0.0303291602817413
"rxrg",1.58487550962506,3.19946012851305,3.468586737345,0.000327129053531425,0.0306265489450643
"peli3",1.40798885369716,-0.58140080488073,3.43919471344945,0.00036231752264949,0.0336715527115214
"neo1",-1.68415651988298,0.619315322966997,-3.41249268046876,0.000397330216966726,0.0366558876806018
"col2a1",-1.61183455199762,-1.73834625347183,-3.3973147011975,0.000418618761261859,0.0383400182868741
"tktl1",1.66403592163474,-1.69077676245419,3.3691552104086,0.000460967623595061,0.0419148906087624
"znf391",1.67969544316582,-3.76713020558154,3.36688941062185,0.0004645436267308,0.0419383349875042
"peg3",-1.62273731812648,0.910525594958691,-3.29614044016869,0.000590146386881359,0.0528997176155567
"ret",1.51694132465437,1.03073761591218,3.28391491412388,0.000614823394859572,0.0547218731558747
"procr",1.50736770544966,1.18848893524597,3.28014746316565,0.000622619503049908,0.0547218731558747
"nlgn1",-1.6163055157952,-1.71996033044618,-3.27974244884173,0.000623463069423686,0.0547218731558747
"snph",1.47563156893169,-0.242227817565909,3.25189884815124,0.000684074342669654,0.0593234114842548
"eln",-1.77376494870273,-3.69506082605137,-3.25136987950621,0.00068527716407162,0.0593234114842548
"cd248",-1.6988958531439,-3.29755626853967,-3.24178021602916,0.00070742701302518,0.0608242858341853
"ccl5",1.78679601813409,-3.51438392501805,3.21594779758244,0.000770448471270234,0.0657952582998951
"rgl3",1.61737895786165,-0.390450435589069,3.19914675657808,0.000814193765940174,0.069064396024952
"bhlhe41",1.46078553334706,-0.131054636237156,3.19564120057234,0.000823607168042591,0.0693971399792687
"klf15",1.48135223971909,-1.71412284977315,3.17449409696416,0.000882568406533754,0.0738727290740405
"slc5a5",1.61590482073406,-3.56698508017711,3.14600850814973,0.000968185462032591,0.0805058950962494
"znf423",-1.58637451362572,-1.01806584271808,-3.12087988212577,0.00105003155434367,0.0867408419303896
"adamts14",-1.62770567156367,-1.25461839336469,-3.09444381497591,0.00114300734875757,0.0938082459801749
"sp5",1.70618869963696,-3.69296321496809,3.0877206626652,0.00116783628702669,0.0952276311724537
"znf229",-1.29877793737122,1.15133628009816,-3.04853385336418,0.00132274053311956,0.107167420500629
"batf2",-1.7550113620534,1.82998552014236,-3.0300016619893,0.00140240721829583,0.11289824733784
"lef1",-1.29605498404752,3.64024908696397,-3.02030338110606,0.00144583774027038,0.115657868349857
"spink7",1.65712572367023,-3.76280460528259,3.01799761972316,0.00145634385757237,0.115765597584007
"cfap20dc",1.65159250827251,-3.83205694789449,3.01236530754186,0.00148230337352542,0.117092702112424
"zp3",1.69015327919712,-0.536178152132641,3.00602710361589,0.00151202505670409,0.118168374742458
"chst1",-1.65939629387865,0.0316654939670948,-3.00547927148535,0.00151461956707637,0.118168374742458
"kif21a",1.59137744680724,0.468167336211766,3.00233015216351,0.00152961324966191,0.118606023696177
"sowahc",1.55030145104082,-2.43977572694306,2.99735317251425,0.00155358832713341,0.119730505284385
"sertad4",1.60996450229714,-1.03083090631424,2.99331895880283,0.00157327490236303,0.120025792248151
"astl",-1.58519797508107,2.15028732759787,-2.9926802239329,0.00157641281060155,0.120025792248151
"cdh4",1.60901213957281,-2.91410575259314,2.97349105087691,0.00167340818960109,0.126647940768672
"dtx1",-1.27868572591275,4.22479487887251,-2.95986663982201,0.00174556978845054,0.131089894344276
"rnase13",-1.65629038012819,-1.79264401828642,-2.95852210640075,0.00175284374904523,0.131089894344276
"gpr27",1.33821163553732,1.08670978019693,2.94777389683614,0.00181199926308887,0.13471681580106
"ido1",-2.15055841406675,2.11925729621629,-2.94134060744946,0.0018482767165056,0.136610347484879
"mmrn2",-1.5219597108579,2.5238352530511,-2.92809227813995,0.0019250902229087,0.141460554228739
"gbp1",-1.33907616671219,7.84994648247581,-2.92490996942427,0.00194397160945735,0.142022295791511
"mx2",-1.40228887662514,6.32484058918912,-2.92173621571141,0.00196297103035396,0.142586154325538
"ovos2",1.60526070470326,-1.29204762649708,2.90933355515638,0.00203886050591862,0.146469300975965
"wt1",1.61906915217714,-3.22216580218764,2.90921361577342,0.00203960732429542,0.146469300975965
"sprn",1.44980485722286,-0.528660020959509,2.90104364055245,0.00209107198884576,0.149316716762834
"erich2",1.60815557927179,-3.70350720921232,2.87548048198834,0.00225986840420354,0.160463352588363
"s100a3",-1.57690024409415,-2.8252832259597,-2.86476956241412,0.00233422363408991,0.164817053135544
"kiaa0408",1.65132137715084,-3.19894515521631,2.85974357044912,0.0023698782229354,0.166404949220448
"pomgnt2",-1.43282572799871,-0.885182679861828,-2.85685699694923,0.0023905797123978,0.166931143563513
"rpl31",1.68245039331261,7.64138775911141,2.8283681263697,0.00260392189382846,0.180829498989549
"adra2b",-1.56192266166692,0.901469623359291,-2.82406587455916,0.00263760651657799,0.182167807448247
"cdca7l",-1.22111731028885,3.77312649886205,-2.791848162573,0.00290274129485288,0.199389930574161
"atp1a4",1.47694988882261,-1.50310602304357,2.78484484875121,0.00296348858315699,0.202462336229845
"prss21",-1.52801739180665,-2.50362290236021,-2.74399677144553,0.00334140642040339,0.226305671866975
"necab2",-1.87289624037866,-2.04866952875567,-2.7432914099149,0.00334829975782295,0.226305671866975
"igf2",1.73126868200607,-1.92638311104686,2.73185675465379,0.00346186086827208,0.232736486777079
"notch3",-1.34485734151504,1.90703748485593,-2.72757840047589,0.00350523960071552,0.234405943457372
"scarf2",1.36452140950216,-0.731307287016593,2.71618978591406,0.00362311929872255,0.241013709560812
"vtn",1.44035959082437,-2.0966693790298,2.70875182850469,0.00370203152888446,0.244973698919218
"c17orf107",1.42330702366966,-0.188599763209985,2.68306114906279,0.00398669381487484,0.262436578782308
"rhou",1.75377758648447,-0.69203849688902,2.65881489633405,0.00427332701007735,0.279847565183252
"slc36a2",1.33133793476469,1.85610714058753,2.64090526422759,0.00449684062615817,0.292966848835119
"serp2",-1.53393505518206,-3.7554713636827,-2.62791008640053,0.00466555376904864,0.302399661984645
"kiaa1549l",1.43882088950845,-0.607879725576502,2.61012468592838,0.00490568502326253,0.316341596984771
"tmem139",1.49106936564947,-2.99057688212108,2.59827895624725,0.00507172421820067,0.325388438547402
"rasal1",-1.2951683206928,2.75349083165965,-2.59306312082868,0.00514642024539747,0.328513158997872
"tmem151a",1.55905837270749,-2.61483553963562,2.5857976263896,0.00525211490133457,0.333575277577727
"gprc5d",1.69710635115474,2.14929175545147,2.56070725379537,0.00563224998968419,0.355930038098092
"mybpc1",1.38989087808928,0.817148834987654,2.55817682246768,0.00567192325303183,0.356653920373479
"steap2",1.62672937955049,-3.69862218164644,2.55357097381881,0.00574477842205092,0.359446804338127
"bend4",1.47378700449308,-2.49294218838519,2.51735325845752,0.00634747268479401,0.395200528389712
"tox3",-1.51146131793361,-0.227957291777446,-2.49926005539659,0.00666919943972281,0.413196135875768
"tex9",1.28784998336905,0.44343783450743,2.4880882756065,0.00687503547844419,0.423871089814908
"hoxc4",1.63826594367368,-3.21596148734903,2.46441648655019,0.00732996984778297,0.449725674301597
"nxph4",1.47833609552217,-3.15482495401732,2.4517690413433,0.00758384007186431,0.46305388728644
"muc3a",-1.82000081408379,-0.0700023674996996,-2.44011265194854,0.00782469936811936,0.475463342854137
"chrne",1.39573337797866,1.73442145669851,2.41319266723845,0.00840705931119912,0.50840584992462
"bhlha15",1.32472699518966,1.23006189582975,2.40179478577139,0.00866497577332775,0.52150775618614
"cygb",-1.44174693278415,-0.408185353611306,-2.38557429423798,0.00904407976880726,0.541744664445284
