"","logFC","AveExpr","t","P.Value","adj.P.Val"
"nr1d2",1.2575767357509,2.41816554440428,4.60904295088916,3.71895234711901e-06,0.000160972050394648
"sidt1",0.987671782887234,3.29164452713994,4.5898878094166,4.03935399375674e-06,0.000173651003833644
"bcl11b",1.08686490608308,3.60476184219342,4.52670109741982,5.29589256450004e-06,0.00022254872088353
"akap2",1.20275740312701,2.05681566240547,4.52575084466611,5.31739748705157e-06,0.00022254872088353
"cd79b",1.00639203765771,6.6596658650263,4.52573993423966,5.31764488542021e-06,0.00022254872088353
"ppp1r16b",0.982654865354823,4.1674607954991,4.49651021942196,6.02177466290309e-06,0.000248561432840739
"phtf2",1.23054668973703,2.44290669388661,4.49238307607071,6.12814999841023e-06,0.000251304657809257
"dse",0.815653060903978,4.16032944825028,4.491776697619,6.14393063241241e-06,0.000251304657809257
"nuggc",1.17567641398094,1.82449625670631,4.47723132596513,6.53439305286204e-06,0.000264705749343344
"mybl2",0.925338591851702,5.78451009476551,4.39971177189585,9.05209766768874e-06,0.000358650352419806
"znf507",1.29792932020672,1.41809815440957,4.38588877674869,9.58956848444313e-06,0.000376405453648685
"rrn3",0.82686022319518,3.53012573143303,4.37732384836515,9.93782555460607e-06,0.000388867421624353
"itga3",0.964411783079021,0.762299111205932,4.35765362227811,1.07841782608894e-05,0.000418101929568653
"atp1a3",1.55018831140759,-0.391866409198822,4.31702989308432,1.27562451402858e-05,0.000481272186053948
"mef2c",0.927427273816749,3.84108928324472,4.27889855754086,1.49185552816603e-05,0.000551332222821357
"p2rx7",0.994900471500797,3.9485453845885,4.27162434861043,1.53691285693963e-05,0.000566327743406996
"cd28",0.816657154201309,3.72741494065084,4.26880748007697,1.5547085990887e-05,0.00057121982511285
"slc9a7",0.999397262354961,3.43760914369067,4.25416780281644,1.65041942456034e-05,0.000604627568319365
"pou6f1",0.937650100374625,2.45319281193381,4.25204000207918,1.66479159849045e-05,0.000606377550816161
"plcl1",1.23120220259136,0.295489337949763,4.23534620787453,1.78178173547663e-05,0.000643426838705404
"fcer2",1.00916459821247,4.1814170372231,4.22535865193395,1.85549415015993e-05,0.000666238368291799
"clgn",1.12001930735263,0.553752624580879,4.22301794631734,1.87318692355024e-05,0.000668996106008447
"rbl1",0.887927821661784,3.26105632601818,4.22294238499815,1.87376075264649e-05,0.000668996106008447
"sh3rf1",1.13588789624669,2.93157368357393,4.21453873009752,1.93864034058608e-05,0.0006882717770974
"slc16a9",1.23467580245954,-0.979029540979659,4.21357121195222,1.94624646913738e-05,0.000689036670124014
"abca4",1.3356614842302,-2.78734676042492,4.21009928425559,1.97377669819319e-05,0.000694890353439102
"card11",0.814199719599206,7.04781483141939,4.20582908008671,2.00814779812779e-05,0.000703074238796042
"lpar5",0.84666877278301,4.55829906217231,4.19820672394563,2.07092838186748e-05,0.000721059609322952
"sema4f",0.973860892711779,2.04360989168061,4.19241045872998,2.11992046604926e-05,0.000734073281380729
"ppm1k",1.1345284753187,0.194376851040298,4.12910674188706,2.73240013364441e-05,0.000928354980890638
"gprasp2",0.922757938586029,1.0974822962673,4.12049966384161,2.82771009820504e-05,0.000958161606734946
"tsr1",0.848811499567382,3.56190238653201,4.11270235281552,2.91678634958441e-05,0.000978889802337015
"nup58",0.874228954373382,3.34581934346526,4.11216952873009,2.92297009884372e-05,0.000978889802337015
"znf77",1.00674123663386,0.274067215048534,4.11196595554388,2.92533599246983e-05,0.000978889802337015
"slc4a7",1.08260269463289,3.3452952558725,4.11159842470418,2.92961200451348e-05,0.000978889802337015
"prrt3",1.15097777671494,-0.97442448625131,4.10699958241275,2.98362383792799e-05,0.000989764348755169
"casq1",1.15799300356193,-0.478295018474765,4.1035976514484,3.02418854033951e-05,0.00100059473720814
"bpnt1",0.806059121247003,2.37177114717635,4.09509117132023,3.12793623515098e-05,0.00103080659180258
"znf608",0.995639593782972,0.7282093845139,4.09150670055165,3.17266303253488e-05,0.00104153994982359
"tmem35a",1.25003601067375,-1.37952926777753,4.08724484405913,3.2266364009134e-05,0.00105651444225763
"tcf7",0.930356827902829,7.59519092121669,4.08526039421604,3.25206589674792e-05,0.00106208942813945
"gpr75",1.01886267936285,1.73281354223191,4.08370684393293,3.27210698868675e-05,0.00106588041829927
"itk",0.970743470583605,4.99385328747212,4.07952794023184,3.3266019902434e-05,0.00107531771239607
"themis",0.906932236605426,3.94967310836649,4.06914137922271,3.46582272530322e-05,0.00111461917112233
"aicda",1.3273407025438,-2.89405202112805,4.0683927297057,3.47606938476923e-05,0.0011150771815761
"akap5",0.998824831502445,2.06805139565214,4.05972784062322,3.59678615399181e-05,0.00114508262469276
"bbs7",0.893206963447827,2.15378887174257,4.05848228901039,3.61446398262363e-05,0.00114781935367789
"zbtb32",0.88219555073247,3.52121121971416,4.05527510598019,3.66036484228134e-05,0.00115759723495841
"gga2",0.732081365169878,4.60004526832967,4.05461368505253,3.66989989618598e-05,0.00115759723495841
"syngap1",1.02198070043541,2.12537376058559,4.05397905829413,3.67907094037095e-05,0.00115759723495841
"kif12",0.88484495341746,2.68459103971518,4.05378427909097,3.68189008982735e-05,0.00115759723495841
"st14",0.82328610389589,2.37661043034507,4.04940415313261,3.74583264348929e-05,0.00117477862980301
"kiaa0040",0.90702119442388,2.66946734091283,4.04846665280818,3.75965544009024e-05,0.00117483723792761
"traf3ip2",0.741918004274189,3.75819116210875,4.04813140795866,3.76461018562134e-05,0.00117483723792761
"rab28",0.835227944466954,5.20934628398823,4.0433777917614,3.83553943766655e-05,0.00119402421065684
"cd1d",1.19777597155341,0.140247317050965,4.03865195043429,3.90731559094072e-05,0.00121337989567321
"btbd3",1.00779419926938,0.987748406022759,4.00995088822167,4.37148866326615e-05,0.00133135530638604
"fktn",1.31474599836586,-0.72262388567092,4.00604678179154,4.4385459292772e-05,0.00134852841346477
"sfrp2",1.1163472677355,0.577684984506408,3.99101367610114,4.70601633943842e-05,0.00142295073000388
"gramd2b",0.93510001628878,3.55965320272085,3.98884316551122,4.74587913865785e-05,0.00143157915115744
"ppp1r12b",1.36097628040252,0.0640689655175918,3.97709549558862,4.96726997082428e-05,0.00148419208419026
"carf",1.11773654641122,-0.119350160065839,3.97601844051903,4.98805222961881e-05,0.00148688660684321
"znf35",1.15656363609885,-0.173798929570339,3.96897910708354,5.1259303935076e-05,0.00152339755534623
"abca5",0.951830668203019,1.17085976324063,3.96544947437425,5.19642207656937e-05,0.00153581866373845
"enpp4",1.04203253059576,3.41152659821255,3.9652312677836,5.20081009636882e-05,0.00153581866373845
"trim38",0.849950120887842,3.72608300962274,3.96127112169442,5.28106163958216e-05,0.00155226367587626
"tpcn1",0.858471911589214,3.44634050836758,3.95980066985261,5.31115882375407e-05,0.00155748808291015
"gne",0.832280111932534,3.49944198020994,3.95226613162013,5.46795253033671e-05,0.00158507917502123
"icos",0.84770106610767,3.90252588642688,3.93359228064002,5.87574829117e-05,0.00168398146603396
"smchd1",0.898879545602051,6.47727343179632,3.93162849973148,5.92027451773427e-05,0.00169290383777474
"cd72",0.988997012873769,1.83901129571601,3.92887005421821,5.98336065531282e-05,0.00170323638113736
"kmt2a",1.13827076263099,5.56759602132327,3.92598245596231,6.05008473269422e-05,0.00171836002104544
"tcaf1",0.991361008524727,1.01796114559568,3.91331275044165,6.35129253549987e-05,0.00178386636347073
"ccdc171",1.01279566414464,-0.179053249429574,3.91257785813642,6.36919387121496e-05,0.00178492774586
"znf630",0.923009874152897,0.249986384645225,3.91000738352158,6.43218616204968e-05,0.00179859294031296
"urb1",0.870086621476381,3.9601198294548,3.9064867035847,6.51942522776525e-05,0.00181495628752698
"lpin1",0.872498126509776,4.20437332133535,3.90316215092091,6.6028352059567e-05,0.00183413701468322
"hepacam2",1.11642210801619,-1.00631677060976,3.9017673507133,6.63813041852492e-05,0.00183989759560826
"patl2",1.16584233910805,-1.39909572618844,3.8962619030405,6.77920213628263e-05,0.00187488699782223
