"","PC1_GE","PC2_GE","Sample","lib.size","norm.factors","ID","rna_lib_type","rna_batch","pair","mother","sex","date_birth","remark","year","group","sample_collection_date","sample_collection_Dec_days","delta_days_samples","age_days","tissue","colony","life_history_stage","WBCin10_total","WBCin10_Neutro","WBCin10_Eo","WBCin10_Baso","WBCin10_Lympho","WBCin10_Mono","Diff_Neutro","Diff_Eo","Diff_Baso","Diff_Lympho","Diff_Mono","TimeTo100","WBC_ratio","WBC_ratio_log","PC1","PC2","PC3","PC4","PC5"
"11",2.76063449845178,-57.4146041835251,"C18_FWB_pup_end_2018B",31953589.0098181,1.17005326313753,"C18","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F18_C18","F18","F",NA,"not sure about delta days","2018_2019","2","11-02-2019",73,53,"56","blood","FWB","Pup","5","1","0","0","2","2",58,6,0,24,12,"20",3.16666666666667,1.15267950993839,-0.0249819726361243,-0.0445657017295909,-0.0351704916489411,-0.0229896984766423,0.00449092035583114
"12",45.313259106143,29.2092784043317,"C19_FWB_pup_start_2018B",27696566.0695207,1.1263506187049,"C19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F19_C19","F19","F",NA,NA,"2018_2019","1","20-12-2018",20,0,"2to5","blood","FWB","Pup","2","0","0","0","2","0",13,1,0,80,6,"37",0.25,-1.38629436111989,-0.0291379860806858,0.0118671415037007,-0.0206139048531018,0.0174890052441248,0.0468373058360326
"13",16.2926617778443,-29.8438018068067,"C19_FWB_pup_end_2018B",8021022.94129344,0.864387968718739,"C19","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F19_C19","F19","F",NA,"not sure about delta days","2018_2019","2","05-02-2019",67,47,"50","blood","FWB","Pup","4","1","0","0","3","0",31,7,2,53,7,"26",0.886792452830189,-0.120144311842063,-0.0291379860806858,0.0118671415037007,-0.0206139048531018,0.0174890052441248,0.0468373058360326
"14",64.6521020554844,58.445002725744,"C21_FWB_pup_start_2018",11482968.0784298,0.995708192949049,"C21","BGISEQ-500 Transcriptome","F20FTSEUHT0820_ARCbfrE","F21_C21","F21","M",NA,NA,"2018_2019","1","21-12-2018",21,0,"2to5","blood","FWB","Pup","1","0","0","0","1","0",31,8,0,58,3,"36",0.724137931034483,-0.322773392263051,-0.0239281592126235,-0.0151472677829549,0.0340506567020378,0.000538533684670413,-0.00891115138314498
"15",-8.94839220389409,8.46694218489375,"C24_FWB_pup_start_2018B",30158548.3303977,1.10778682805231,"C24","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F24_C24","F24","M",NA,NA,"2018_2019","1","21-12-2018",21,0,"2to5","blood","FWB","Pup","3","2","0","0","1","0",31,14,0,46,9,"25",1.17391304347826,0.160342650075179,-0.0118730293721497,0.00405705957526139,-0.0114622474733074,-0.0124063024546997,-0.010617369073381
"16",-68.3223937937353,-40.3996758910685,"C24_FWB_pup_end_2018B",20914490.809852,0.90894927742975,"C24","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F24_C24","F24","M",NA,"not sure about delta days","2018_2019","2","17-02-2019",79,58,"61","blood","FWB","Pup","11","4","3","0","1","3",55,13,4,17,11,"13",4.88235294117647,1.58562726374038,-0.0118730293721497,0.00405705957526139,-0.0114622474733074,-0.0124063024546997,-0.010617369073381
"17",-26.411027521916,-67.028138279639,"C5_FWB_pup_start_2018B",16022472.9784813,0.985293873202958,"C5","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F5_C5","F5","M",NA,NA,"2018_2019","1","14-12-2018",14,0,"2to5","blood","FWB","Pup","18","0","0","0","18","0",6,2,0,92,0,"10",0.0869565217391304,-2.4423470353692,-0.0124477435808338,0.112904530073752,0.139280463616064,0.165636169082833,-0.0475268806610979
"18",12.708386399815,-56.1235577680423,"C5_FWB_pup_end_2018B",16849955.8609979,1.11411502425247,"C5","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCuueE","F5_C5","F5","M",NA,"not sure about delta days","2018_2019","2","09-02-2019",71,57,"60","blood","FWB","Pup","1","0","0","0","1","0",10,0,3,87,0,"200",0.149425287356322,-1.90095876119305,-0.0124477435808338,0.112904530073752,0.139280463616064,0.165636169082833,-0.0475268806610979
"19",60.6060385246513,18.1639794240741,"C6_FWB_pup_start_2018B",25908766.361214,1.17639298154048,"C6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F6_C6","F6","F",NA,NA,"2018_2019","1","15-12-2018",15,0,"2to5","blood","FWB","Pup","3","1","0","0","2","0",18,9,0,69,4,"32",0.449275362318841,-0.800119300112113,-0.0028163744137063,0.00809114353553938,-0.00807831853722385,-0.032706547076901,-0.0320142412056517
"20",50.9986710228,-16.642899886057,"C6_FWB_pup_end_2018B",30044033.416216,1.26332940606293,"C6","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F6_C6","F6","F",NA,"not sure about delta days","2018_2019","2","06-02-2019",68,53,"56","blood","FWB","Pup","5","2","1","0","0","2",30,5,0,58,7,"90",0.724137931034483,-0.322773392263051,-0.0028163744137063,0.00809114353553938,-0.00807831853722385,-0.032706547076901,-0.0320142412056517
"21",-25.1375152620108,24.7474035672541,"C7_FWB_pup_start_2018B",31935402.974788,0.904194191988272,"C7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F7_C7","F7","M",NA,"not sure about age","2018_2019","1","17-12-2018",17,0,"2to5","blood","FWB","Pup","1","0","0","1","0","0",0,10,3,82,5,"86",0.219512195121951,-1.51634748936809,-0.0150269830753783,-0.0393306389747797,-0.00440458719236856,-0.00908580698612509,0.0254849698664303
"22",60.4548711954088,-38.9935966906162,"C7_FWB_pup_end_2018B",20360652.5548882,1.20389953585299,"C7","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F7_C7","F7","M",NA,"not sure about age","2018_2019","2","16-02-2019",78,61,"64","blood","FWB","Pup","4","1","0","0","3","0",34,13,2,48,3,"40",1.08333333333333,0.0800427076735364,-0.0150269830753783,-0.0393306389747797,-0.00440458719236856,-0.00908580698612509,0.0254849698664303
"23",-1.60255380724525,-8.1135900915472,"C8_FWB_pup_start_2018B",13826993.1490199,0.89760572871579,"C8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F8_C8","F8","M",NA,NA,"2018_2019","1","17-12-2018",17,0,"2to5","blood","FWB","Pup","2","0","0","0","2","0",25,2,0,71,2,"50",0.408450704225352,-0.895384047054841,-0.0384497100251171,-0.0186673715279982,0.0116780335454558,0.00459860426763326,0.0123927324216596
"24",-38.3371811806791,-73.1544258304771,"C8_FWB_pup_end_2018B",20147762.3944172,1.09790140988978,"C8","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCutzE","F8_C8","F8","M",NA,"not sure about delta days","2018_2019","2","07-02-2019",69,52,"55","blood","FWB","Pup","3","1","0","0","2","0",27,3,1,61,8,"47",0.639344262295082,-0.447312218043665,-0.0384497100251171,-0.0186673715279982,0.0116780335454558,0.00459860426763326,0.0123927324216596
"25",15.0010711829618,1.50464141295385,"C9_FWB_pup_start_2018B",11605594.5706166,1.02821459761889,"C9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F9_C9","F9","M",NA,NA,"2018_2019","1","17-12-2018",17,0,"2to5","blood","FWB","Pup","3","1","0","0","2","0",14,5,1,76,4,"52",0.315789473684211,-1.15267950993839,-0.00624955786521123,0.00315373246406041,0.00908394835677658,-0.0337902862626972,0.0180293826781763
"26",-6.83464833749754,-73.4605075923438,"C9_FWB_pup_end_2018B",7643041.47661679,0.702361723865444,"C9","DNBSEQ Transcriptome","F20FTSEUHT1199_ARCcdmE","F9_C9","F9","M",NA,"not sure about delta days","2018_2019","2","06-02-2019",68,51,"54","blood","FWB","Pup","11","2","0","0","9","0",16,2,0,81,1,"14",0.234567901234568,-1.450010175506,-0.00624955786521123,0.00315373246406041,0.00908394835677658,-0.0337902862626972,0.0180293826781763
"27",-70.8800339486179,21.3363911839394,"F1_FWB_mum_start_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",71.2793187489449,-1.27620759797466,"F1_FWB_mum_end_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",44.1727840766417,91.5636564544997,"F11_FWB_mum_start_2018B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
