"","logFC","AveExpr","t","P.Value","adj.P.Val","Significance"
"mag",1.95162910661832,-3.4036399973907,4.24849931923789,1.70950830287542e-05,0.00209771606214004,"Upregulated"
"sdk2",1.6684903929179,-0.701268966488151,4.14299065592737,2.61380846462383e-05,0.00317653126772891,"Upregulated"
"klra1",-1.82488040093237,-0.761304537095361,-4.1106571722328,2.97234934157427e-05,0.0035778593645864,"Downregulated"
"cnga3",1.83603968071707,-3.30115094626425,4.05386331960883,3.71856156516432e-05,0.00443385845491621,"Upregulated"
"nr0b1",1.87171869156048,-2.9237507269049,3.98575882761406,4.84951212176491e-05,0.00572831623429782,"Upregulated"
"c1qc",-2.1391193029786,1.90139109396184,-3.9547885775815,5.46588048695e-05,0.00639659846986676,"Downregulated"
"iglv3-21",1.74123747568219,5.77880301933114,3.85861799399361,7.89017627972809e-05,0.00914898513756728,"Upregulated"
"gpr25",1.54449212867712,2.32182827869022,3.84823927966564,8.20571951061161e-05,0.00942837171769274,"Upregulated"
"card14",1.68057488970351,-1.75900644521944,3.77613192222234,0.000107519043101863,0.0122426413131932,"Upregulated"
"nrp1",-1.49946105233769,2.55326557872065,-3.75833586459786,0.000114867132260459,0.0129625507557138,"Downregulated"
"fabp4",2.22220099098318,-1.66650806246085,3.72381841263166,0.000130494580040353,0.0145634940446593,"Upregulated"
"apbb2",1.79708940288901,-2.16028775460079,3.72202655993985,0.000131358360716129,0.0145634940446593,"Upregulated"
"sspn",1.75583131657814,-2.76575235784008,3.7126673806498,0.000135958572422738,0.0149424382334868,"Upregulated"
"mertk",-1.82904990513313,0.450231928218624,-3.69472660337971,0.000145205569540198,0.0158211482191255,"Downregulated"
"rcn3",1.50044450878125,1.58057040102398,3.66541223845117,0.000161603994002297,0.0173627944385775,"Upregulated"
"amn",1.79923051838062,-1.3948034535924,3.66456630730399,0.000162102203002781,0.0173627944385775,"Upregulated"
"tktl1",1.79835868413255,-1.69077676245419,3.62285333454837,0.000188547036957628,0.0200255966395584,"Upregulated"
