"","logFC","AveExpr","t","P.Value","adj.P.Val"
"serping1",-1.35068451177584,8.98937712219424,-5.88741917528418,8.82458676156884e-09,9.29449600662238e-07
"nmes1",-1.35522861332864,6.47153516639158,-5.87619451960495,9.34505950495722e-09,9.76133942835986e-07
"sertad1",-1.06318015848584,6.03575617906676,-5.85010584446463,1.06735578946975e-08,1.10576310025477e-06
"sat1",-1.00930791575269,8.54556584887131,-5.84527706620314,1.09389567808902e-08,1.12404451019245e-06
"cckbr",-1.28384388797973,5.30394168095127,-5.81404905094141,1.28180299460238e-08,1.29605664390236e-06
"ppp1r3c",-1.55550330339782,1.15406044677154,-5.78648920163961,1.47360876478929e-08,1.47816993477554e-06
"vps26a",-1.02711167820297,10.4089007469538,-5.78035906414553,1.51994361057486e-08,1.51264309402013e-06
"cd300h",-0.944114397290341,6.43567641431284,-5.77594281550095,1.55420375942072e-08,1.52978266676161e-06
"rab24",-0.886058315015254,6.19743447570426,-5.77503069822787,1.56137324165083e-08,1.52978266676161e-06
"ppp1r3b",-1.32823930426825,5.97705286434256,-5.7700104010026,1.60141669248414e-08,1.55694658279285e-06
"cyp4f6",-1.08359273705312,8.55993941078605,-5.74728341370239,1.79561487168487e-08,1.7063741626485e-06
"sod2",-1.11795919916404,10.0303199174036,-5.74081685902103,1.85495625657037e-08,1.74961135274574e-06
"c3",-1.23844808463219,7.18269870750534,-5.73285775759345,1.9306302883063e-08,1.80749897880765e-06
"ogfrl1",-0.987875514637214,4.546450112325,-5.71740953847699,2.08621862107611e-08,1.9388027317486e-06
"snai1",-1.09387532301582,2.8968143257851,-5.67699468563767,2.5535289839794e-08,2.3557702794537e-06
"nim1k",-1.21685951140935,2.76749445437414,-5.63848660534013,3.09314797455239e-08,2.83292009060636e-06
"fn1",-1.69463632876548,2.70892417577376,-5.63134995022311,3.20472133548777e-08,2.89508024837948e-06
"popdc3",-2.01355279664846,-4.15453075241902,-5.62978325157425,3.22973585743735e-08,2.89508024837948e-06
"arg2",-1.02731169891595,6.23026804215977,-5.62203299854484,3.35631078217253e-08,2.98735295604779e-06
"tlr4",-0.920835421225035,6.84580117245562,-5.61724074329655,3.43698629998584e-08,3.01951334879012e-06
"s100a12",-1.61136685767386,7.55781382735546,-5.56834696422707,4.37615566268945e-08,3.78340429640108e-06
"asgr2",-1.06184182637327,4.22227767798462,-5.56722768772837,4.40035154340501e-08,3.78340429640108e-06
"bri3",-1.10628613154105,6.43592523002318,-5.54890924588961,4.81540726535107e-08,4.11229273153866e-06
"klhl25",-0.921194154534145,6.87751999732293,-5.52923637884274,5.30368392735878e-08,4.46888407719251e-06
"shox2",-1.38403697506899,-0.490788732551238,-5.51784016461665,5.60828721047003e-08,4.6633646087586e-06
"osgin1",-1.09153104475199,2.56465291295331,-5.51565570072527,5.66859284016102e-08,4.68270228148988e-06
"fam89a",-1.37607130981229,-1.49533368342285,-5.47314761282236,6.97621158898625e-08,5.61607250147753e-06
"lrpap1",-0.853742992617371,6.50384136000423,-5.46750409356644,7.17055020249901e-08,5.73598632970791e-06
"mmp27",-1.5208395662641,8.95021476579617,-5.46592704456258,7.22579391445488e-08,5.74382448332045e-06
"ier5l",-1.0549831884368,4.9875485946613,-5.45279619726456,7.70216105618992e-08,6.04643562665742e-06
"orai2",-1.04931522334561,7.19942122639861,-5.43510717021819,8.39255042908651e-08,6.54774351069286e-06
"spi1",-0.965252411650075,10.4167366954265,-5.3791884956342,1.09954214134505e-07,8.47384946613419e-06
"ifi6",-1.39026680834491,6.69803028194564,-5.36406743002432,1.1824844100902e-07,9.0032653368253e-06
"ifit3",-1.09200431399748,12.475139521977,-5.36267798889969,1.19040447639996e-07,9.00929471689768e-06
"acsl3",-0.984060956896776,9.2908068359931,-5.33169455283617,1.38105407011449e-07,1.03849279306973e-05
"ggh",-1.01337274564579,7.37242897455983,-5.33055559679945,1.38860101296609e-07,1.03849279306973e-05
"ccdc24",-0.992386568780188,3.91864319006504,-5.32660699605307,1.415077319271e-07,1.05206836695683e-05
"protein c19orf12 homolog ",-0.854154589858361,5.45447203010884,-5.31920831278172,1.46601644997916e-07,1.08083866108782e-05
"il22ra2",-1.5110902771954,1.14169961178519,-5.29273297193568,1.66333306699698e-07,1.21519460310838e-05
"ncr3",-0.906829296173626,5.69822060800279,-5.28067132557964,1.76157712522307e-07,1.27957317733875e-05
"casp1",-0.99657844489739,7.48169678526653,-5.27884584907559,1.77692945848036e-07,1.28334922432762e-05
"slc6a8",-0.951496351512739,4.56187646218976,-5.27008387587738,1.85244828763751e-07,1.33028942655968e-05
"armcx1",-0.899472535212309,2.46335440604544,-5.26354605652858,1.9108220097677e-07,1.35679097648618e-05
"c5ar1",-0.947029532815394,10.1566970829248,-5.24381256027856,2.09807378862912e-07,1.48142763209405e-05
"magea11",-1.51324356642301,-1.75575564479249,-5.23503528043108,2.18698594485456e-07,1.52703519523822e-05
"fam131b",-1.28812831802044,2.23628290424696,-5.23388450450132,2.19891135005424e-07,1.52703519523822e-05
"abtb1",-0.875945593214109,9.89403475181679,-5.23134076026155,2.22549676564649e-07,1.53705211043749e-05
"atp1b3",-0.890454402746984,8.26408176065166,-5.22646790987427,2.27729983463999e-07,1.56428220706602e-05
"gmfg",-0.949756760765833,8.89139814095187,-5.21877778972857,2.36144666463568e-07,1.61331483212596e-05
"tnfaip6",-1.61829018085773,0.919432659269374,-5.20547706657583,2.51417362269937e-07,1.70842152781169e-05
"ankrd55",-1.17042408597823,0.880271396583308,-5.2030564274556,2.54298305914559e-07,1.71875737350487e-05
"cyren",-0.948041279427859,5.43295683588917,-5.16879656390933,2.986804492149e-07,1.97645141237022e-05
"rhno1",-0.895823185142587,6.68458032078974,-5.16733655588136,3.00730179890195e-07,1.97965038730843e-05
"socs3",-1.11919344964873,6.87077933663848,-5.16580856974686,3.02889980341274e-07,1.98353702670123e-05
"rgs19",-0.861796059476303,8.6794304502735,-5.15735188539813,3.15118702274319e-07,2.04245398874109e-05
"isg15",-1.6300154249497,9.17551903874176,-5.15358150084195,3.20724178698368e-07,2.06818004824932e-05
"il36g",-1.01256407151679,4.14636112985525,-5.15150240202136,3.23856507811412e-07,2.07616064225198e-05
"rassf8",-1.15603609956634,-0.389888339277803,-5.15058564444326,3.25247098002922e-07,2.07616064225198e-05
"glul",-0.928304915553673,10.0366700121021,-5.14418525500412,3.35118455333306e-07,2.12842319445108e-05
"lst1",-1.1552200677803,8.89506069051744,-5.13097535744473,3.56420710437285e-07,2.25240067960842e-05
"scn1b",-1.36875837751719,-0.678721689882305,-5.12500994935821,3.6646614884846e-07,2.30436102253516e-05
"slc25a33",-0.96300225482148,3.81575335281639,-5.11838665788625,3.77941550653371e-07,2.36475408846928e-05
"rhob",-0.956356836002437,5.51308828072131,-5.1116536148173,3.89964459653731e-07,2.42796098796232e-05
"serinc2",-0.997712329583207,6.62339227056901,-5.08689695138215,4.37447059349604e-07,2.69702116249739e-05
"hsbp1",-0.996544116672331,4.27464011827419,-5.07686941427893,4.5823637804198e-07,2.79192003923099e-05
"pla2g7",-1.04108403789033,2.82405447926001,-5.07629012371136,4.59466230049882e-07,2.79192003923099e-05
"rilpl2",-0.806084323363502,8.78565824769401,-5.01785230255987,6.01456119826167e-07,3.5689220180671e-05
"pcolce2",-0.948778461078216,5.09375797581782,-5.01232977783104,6.16889279477198e-07,3.62644818758712e-05
"mylip",-0.951640581066875,5.25250449504789,-5.00908153455333,6.26145388923324e-07,3.66382017157495e-05
"relb",-0.868704362681403,7.4314187574797,-4.98680143501609,6.93363107625017e-07,4.01970762326502e-05
"kcng1",-1.81556664276377,-3.52010166857543,-4.98581116051315,6.96507610962132e-07,4.01970762326502e-05
"a4galt",-1.14543699575151,5.4368630480974,-4.97668569151773,7.26142593980769e-07,4.17168920241952e-05
"il27",-1.17005894131142,5.30276830502175,-4.96340845422863,7.7145311766457e-07,4.39207024962275e-05
