;sMLH_SNP.new;sMLH_microsats.new;froh
SSB17;1.01419429236691;1.06727024525064;0.048976813390512
SSB25;1.01076990306087;1.03415580890544;0.0698751275452583
T1;0.995066977872227;0.998495263770774;0.0674607930573243
T17;0.993096633243387;1.06981635404012;0.0748114224216984
T25;0.985953017396171;0.962834718636104;0.0788867100935623
FWB2;0.984371490109264;0.891513628366763;0.0873083269909756
FWB4;0.990994718410706;0.998495263770774;0.0632049574461334
N11;0.99633871423807;0.855853083232092;0.0576576110280783
N19;1.00635758628999;0.998495263770774;0.0673193418737153
N3;0.985335080166172;0.998495263770774;0.0607392260995589
SSB10;1.00767757318236;1.14113744430946;0.0742917430732221
SSB18;1.02000110844804;1.14113744430946;0.0619973509127763
SSB3;1.00321190968402;1.03415580890544;0.0738423500271601
T10;0.999831544211462;0.998495263770774;0.0660366168546529
T18;0.996324597230009;1.17679798944413;0.0570878526891317
T3;0.987227833597964;1.03415580890544;0.0700873043206717
FWB11;1.03339016830756;1.03415580890544;0.0492768480439434
FWB20;1.00258140650441;NA;0.0759232638680159
FWB5;1.00595429565334;0.998495263770774;0.0581408293571772
N12;1.00594810943897;0.855853083232092;0.0720048025084141
N2;0.9960680119455;1.06981635404012;0.0612053121424442
N4;0.97489849999926;0.855853083232092;0.0772666108229108
SSB11;1.00773979528117;1.06981635404012;0.0751439644899965
SSB19;0.984960817506238;1.03415580890544;0.084353666553231
SSB4;1.00793487934056;0.927174173501433;0.0758239844658556
T11;1.02490698088158;0.998495263770774;0.0463669951239879
T19;0.967980711246623;0.927174173501433;0.0978956405815321
T4;1.00685666220407;1.06981635404012;0.0694696634382053
FWB12;1.00153435453463;0.951147950176552;0.0929861423578874
FWB21;1.00293902262698;1.06981635404012;0.0749959239655362
FWB6;1.00292738696082;0.998495263770774;0.0603465013848185
N13;1.02969476217459;0.998495263770774;0.0710282621942443
N20;0.985803018568314;1.06981635404012;0.0640088570299979
N5;0.972504671156904;0.927174173501433;0.0753183623778622
SSB12;0.987073123660167;1.14113744430946;0.0898636733731285
SSB20;0.990584730394311;0.998495263770774;0.0781974650405113
SSB5;1.00307347885259;0.927174173501433;0.0751184857053712
T12;1.01404545091114;1.03415580890544;0.0549454383336633
T2;1.01425609067785;1.06981635404012;0.0623140785630311
T5;1.00926951960632;1.03415580890544;0.0693690661678748
FWB14;0.995196245736287;1.06981635404012;0.0855643481123187
FWB22;1.01676140616646;0.998495263770774;0.0697310406253088
FWB7;1.00011920431135;1.06981635404012;0.0912496313988621
N14;0.984725720992609;1.03415580890544;0.0641028649594772
N21;0.983881921149686;0.962834718636104;0.0819722787695537
N6;0.973260678602162;1.09747840404987;0.0832615931294675
SSB13;0.993606447622803;0.962834718636104;0.0579611599966304
SSB21;1.0063808137889;0.891513628366763;0.0672820022755577
SSB6;1.00941224387983;0.998495263770774;0.0790641830071586
T13;0.976572367625026;1.03415580890544;0.0648281317425156
T20;0.989956547859674;1.06981635404012;0.0835502062587566
T6;0.98508159122402;0.891513628366763;0.0714644765586035
FWB15;0.999660454376753;1.03415580890544;0.0557467021811873
FWB23;1.00506683223452;1.03415580890544;0.077589927814017
FWB8;1.00294753708301;1.10407266750066;0.0692526544795009
N15;0.992466046160614;0.998495263770774;0.0677889422317214
N22;1.00401088044498;1.03415580890544;0.0647771741732651
N7;0.980577270486218;1.03415580890544;0.0794494398022675
SSB14;1.00580880402751;0.962834718636104;0.0606900256878688
SSB22;0.971041625740907;0.962834718636104;0.0942139562031887
SSB7;1.00236788087218;0.848452199538805;0.0684926838346454
T14;0.984643818775598;0.927174173501433;0.0838124620246403
T21;0.992117851261684;1.05785231239742;0.0804545339267932
T7;1.02769879017825;0.962834718636104;0.0624458653800581
FWB16;0.99392133934553;0.962834718636104;0.0706447625566958
FWB24;1.00221172467626;0.927174173501433;0.0749638558400596
FWB9;1.0022502206449;1.06981635404012;0.0691986218845199
N16;1.0005505024124;1.03415580890544;0.0622213885017222
N23;1.00450993739575;1.10547689917479;0.0605696603949842
N8;0.999217303114911;1.03415580890544;0.0674199391440459
SSB15;0.995065666573622;0.927174173501433;0.0708042246052984
SSB23;1.01124729261692;0.927174173501433;0.0792254022133216
SSB8;1.01821548948581;0.891513628366763;0.069091874562728
T15;1.01778109744885;0.927174173501433;0.0589983222466326
T22;1.01705852077101;1.03415580890544;0.0676097121605648
T8;0.976172511805891;1.03415580890544;0.0724107059048572
FWB17;1.01431991460439;0.942291517869132;0.0741819207256996
FWB25;1.00339467283423;0.927174173501433;0.0731596943149604
N1;0.98146362161232;1.10378313794691;0.0809140306288272
N17;0.985726827313278;0.998495263770774;0.057133099496311
N24;0.964184117610068;1.10547689917479;0.0821559017346113
N9;0.97791865386362;1.14113744430946;0.0948706938413731
SSB16;0.997108865430206;0.962834718636104;0.0654255653130378
SSB24;0.995014309927371;1.06981635404012;0.082017525576733
SSB9;0.986787238945211;1.03415580890544;0.0876162688534286
T16;0.985797779506112;1.14113744430946;0.0747446504344048
T23;1.0060662168822;1.03415580890544;0.0524775105401383
T9;0.996309360329299;0.927174173501433;0.0808859161078614
F9;NA;1.10547689917479;NA
FWB10;NA;1.03415580890544;NA
FWB13;NA;0.91841642473953;NA
FWB18;NA;1.06536305269785;NA
SSB2;NA;1.06981635404012;NA
T24;NA;0.891513628366763;NA
