Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H16_SSB_pup_start_2018B_1	H16_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44305419.0	0.0	100.0	54.0	37.08863588294145	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H16_SSB_pup_start_2018B_2	H16_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44305419.0	0.0	100.0	54.0	38.9438182326117	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H17_SSB_pup_end_2018B_1	H17_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42311319.0	0.0	100.0	53.0	38.74740958137709	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H17_SSB_pup_end_2018B_2	H17_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42311319.0	0.0	100.0	54.0	41.46071433829453	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H17_SSB_pup_start_2018B_1	H17_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52849453.0	0.0	100.0	52.0	43.44227269896743	100.0	100	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H17_SSB_pup_start_2018B_2	H17_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52849453.0	0.0	100.0	52.0	44.6480608784816	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H18_SSB_pup_end_2018B_1	H18_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60934863.0	0.0	100.0	53.0	34.1932521441253	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H18_SSB_pup_end_2018B_2	H18_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60934863.0	0.0	100.0	53.0	37.49347915902023	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H18_SSB_pup_start_2018B_1	H18_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36548368.0	0.0	100.0	54.0	37.31150165532262	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H18_SSB_pup_start_2018B_2	H18_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36548368.0	0.0	100.0	54.0	40.4951356634833	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H19_SSB_pup_end_2018B_1	H19_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17254508.0	0.0	100.0	54.0	43.957483298624076	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H19_SSB_pup_end_2018B_2	H19_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17254508.0	0.0	100.0	55.0	46.99136701758377	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H19_SSB_pup_start_2018B_1	H19_SSB_pup_start_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14631175.0	0.0	100.0	54.0	45.15490237386396	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H19_SSB_pup_start_2018B_2	H19_SSB_pup_start_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14631175.0	0.0	100.0	54.0	48.462891131427085	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H20_SSB_pup_end_2018B_1	H20_SSB_pup_end_2018B_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14481165.0	0.0	100.0	54.0	49.29285405245139	100.0	100	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
prj | furseal-rna | RebeccaN | rnagel | RNAseq | FastQC | H20_SSB_pup_end_2018B_2	H20_SSB_pup_end_2018B_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14481165.0	0.0	100.0	54.0	50.99432561538501	100.0	100	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
