ID,froh.new,sMLH_SNP.new
SSB21,0.0665365281805751,1.0063808137889
SSB22,0.0936705552276475,0.971041625740907
SSB23,0.0693989378464009,1.01124729261692
SSB24,0.077037741050674,0.995014309927371
SSB25,0.0653104714928343,1.01076990306087
SSB3,0.0635484817491837,1.00321190968402
SSB4,0.0746950107333246,1.00793487934056
SSB5,0.0717148715109548,1.00307347885259
SSB6,0.0707308632771534,1.00941224387983
SSB7,0.0623773362352041,1.00236788087218
SSB8,0.0623993007047086,1.01821548948581
SSB9,0.0768672967673191,0.986787238945211
C1,0.0685502307447472,1.0010048488255
C10,0.0480424448577908,1.02174634131309
C11,0.101768415844565,0.990236168165891
C12,0.0656228062491882,1.00878964596301
C13,0.087129536209209,0.984389050461326
C14,0.0819252748048141,0.976043602320429
C15,0.0529901612583732,0.998032675106822
C16,0.0586802767282076,1.0065458777388
C17,0.0599700303775115,0.992557824318317
C18,0.0761762945567077,0.99640128734912
C19,0.0702406163178131,1.00977470846993
C2,0.0795096224487098,1.0053521040854
C20,0.0564825119095878,1.00990060698014
C21,0.0694990958273414,0.987864428182839
C22,0.0777059002130007,0.982259080647609
C23,0.0667017009912489,0.999973556453512
C24,0.0683969187476058,0.994004238618234
C25,0.0630577955004533,1.01377208068537
C26,0.0517728903584341,0.988191837535687
C3,0.0761613587174447,1.00127681490061
C4,0.0969977330681883,0.978875600639875
C5,0.0471348729778651,1.02035852774262
C6,0.0567843037205796,1.02054946246802
C7,0.0630042021948623,0.982838721255344
C8,0.0777700364639538,0.980284168293439
C9,0.0798465574109087,0.996540729981298
H0,0.0869081343566037,0.996113342397968
H1,0.07418367788326,1.00882184957174
H10,0.0590910123079416,0.999796547729944
H11,0.0737522957021917,0.99489163189508
H12,0.0774954805951476,0.992702318635151
H13,0.063984696113543,1.00080068442618
H14,0.0570592988787759,0.998651284649946
H15,0.0799963550929294,0.991214120132127
H16,0.0678724072158385,1.0118317239066
H17,0.0671888729248586,0.987695778391093
H18,0.061189497724401,1.00201910461496
H19,0.0714816088448171,1.01654383594448
H20,0.0758226665976853,0.987640481967817
H21,0.0605889891281481,1.01740081359651
H22,0.0694389131808991,0.990639103901192
H23,0.0502845779048096,1.02533942476334
H24,0.0854835188645422,0.982416233869052
H3,0.0864855379633373,0.990864989475761
H4,0.0714174725938639,0.985568282113458
H6,0.0750033918851677,0.975142731261537
H7,0.0742434212403122,1.00069670428917
H8,0.0633604658902252,0.972892622261743
H9,0.0669015776637399,0.974124011300999
N1,0.0757150406971133,0.98146362161232
N10,0.0819138532806718,0.988862650155719
N11,0.0517012861878495,0.99633871423807
N12,0.0693185478880144,1.00594810943897
N13,0.0655011230881333,1.02969476217459
N14,0.0650473371481704,0.984725720992609
N15,0.0591432877453623,0.992466046160614
N16,0.052940082267903,1.0005505024124
N17,0.05629757107636,0.985726827313278
N18,0.0608125874277039,0.985562496549852
N19,0.06812412003636,1.00635758628999
N2,0.0569784696309993,0.9960680119455
N20,0.057871105671662,0.985803018568314
N21,0.0763151100039761,0.983881921149686
N22,0.054547881435632,1.00401088044498
N23,0.0578926308517764,1.00450993739575
N24,0.0759342461027682,0.964184117610068
N25,0.0707730350586021,1.00072564543927
N3,0.0544833058952887,0.985335080166172
N4,0.0738471822104511,0.97489849999926
N5,0.0680287942387105,0.972504671156904
N6,0.0778807373902565,0.973260678602162
N7,0.081915171148842,0.980577270486218
N8,0.0634399772698315,0.999217303114911
N9,0.0822547418473815,0.97791865386362
T1,0.0595904843444738,0.995066977872227
T10,0.0587039983552724,0.999831544211462
T11,0.043401220664674,1.02490698088158
T12,0.0520931323238096,1.01404545091114
T13,0.0624028150198293,0.976572367625026
T14,0.0763287279750689,0.984643818775598
T15,0.0581078826529204,1.01778109744885
T16,0.0691863217815974,0.985797779506112
T17,0.0583068807466312,0.993096633243387
T18,0.0613401739852018,0.996324597230009
T19,0.0963401168512238,0.967980711246623
T2,0.0553403594953541,1.01425609067785
T20,0.0786890298680219,0.989956547859674
T21,0.0760207861126159,0.992117851261684
T22,0.0486438320328238,1.0170585207710101
T23,0.0487743009816805,1.0060662168822
T24,0.0511732603409614,NA
T25,0.0793057921717081,0.985953017396171
T3,0.066482056296204,0.987227833597964
T4,0.0596313382577522,1.00685666220407
T5,0.0697327977828692,1.00926951960632
T6,0.070113222394687,0.98508159122402
T7,0.059919072808261,1.02769879017825
T8,0.0666902794671066,0.976172511805891
T9,0.0773377757041054,0.996309360329299
