ID;rna_file;rna_lib_type;rna_batch;pair;mother;sex;date_birth;remark;year;timepoint_sample;sample_collection_date;sample_collection_Dec_days;delta_days_samples;age_days;tissue;colony;life_history_stage
F7;F7_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F7_C7;NA;F;NA;NA;2018_2019;1;17-12-2018;17;0;NA;blood;FWB;Mother
C7;C7_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F7_C7;F7;M;NA;not sure about age;2018_2019;1;17-12-2018;17;0;2to5;blood;FWB;Pup
F7;F7_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F7_C7;NA;F;NA;NA;2018_2019;2;16-02-2019;78;61;NA;blood;FWB;Mother
C7;C7_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F7_C7;F7;M;NA;not sure about age;2018_2019;2;16-02-2019;78;61;64;blood;FWB;Pup
F8;F8_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F8_C8;NA;F;NA;NA;2018_2019;1;17-12-2018;17;0;NA;blood;FWB;Mother
C8;C8_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F8_C8;F8;M;NA;NA;2018_2019;1;17-12-2018;17;0;2to5;blood;FWB;Pup
F8;F8_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F8_C8;NA;F;NA;NA;2018_2019;2;07-02-2019;69;52;NA;blood;FWB;Mother
C8;C8_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;F8_C8;F8;M;NA;not sure about delta days;2018_2019;2;07-02-2019;69;52;55;blood;FWB;Pup
F9;F9_FWB_mum_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;F9_C9;NA;F;NA;NA;2018_2019;1;17-12-2018;17;0;NA;blood;FWB;Mother
C9;C9_FWB_pup_start_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F9_C9;F9;M;NA;NA;2018_2019;1;17-12-2018;17;0;2to5;blood;FWB;Pup
F9;F9_FWB_mum_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;F9_C9;NA;F;NA;NA;2018_2019;2;06-02-2019;68;51;NA;blood;FWB;Mother
C9;C9_FWB_pup_end_2018B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;F9_C9;F9;M;NA;not sure about delta days;2018_2019;2;06-02-2019;68;51;54;blood;FWB;Pup
FWB10;FWB10_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;FWB10_N10;NA;F;NA;NA;2019_2020;1;11-12-2019;11;0;NA;blood;FWB;Mother
N10;N10_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB10_N10;FWB10;F;NA;NA;2019_2020;1;11-12-2019;11;0;2to5;blood;FWB;Pup
FWB10;FWB10_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB10_N10;NA;F;NA;NA;2019_2020;2;16-02-2020;78;67;NA;blood;FWB;Mother
N10;N10_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCutzE;FWB10_N10;FWB10;F;NA;not sure about delta days;2019_2020;2;16-02-2020;78;67;70;blood;FWB;Pup
FWB12;FWB12_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCokaE;FWB12_N12;NA;F;NA;NA;2019_2020;1;18-12-2019;18;0;NA;blood;FWB;Mother
N12;N12_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB12_N12;FWB12;F;NA;NA;2019_2020;1;11-12-2019;11;0;2to5;blood;FWB;Pup
FWB12;FWB12_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB12_N12;NA;F;NA;NA;2019_2020;2;19-02-2020;81;63;NA;blood;FWB;Mother
N12;N12_FWB_pup_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB12_N12;FWB12;F;NA;not sure about delta days;2019_2020;2;19-02-2020;81;70;73;blood;FWB;Pup
FWB14;FWB14_FWB_mum_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB14_N14;NA;F;NA;NA;2019_2020;1;12-12-2019;12;0;NA;blood;FWB;Mother
N14;N14_FWB_pup_start_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB14_N14;FWB14;F;NA;NA;2019_2020;1;12-12-2019;12;0;2to5;blood;FWB;Pup
FWB14;FWB14_FWB_mum_end_2019B;DNBSEQ Transcriptome;F20FTSEUHT1199_ARCcdmE;FWB14_N14;NA;F;NA;NA;2019_2020;2;27-02-2020;89;77;NA;blood;FWB;Mother
